曼迪日本台,udp://230.1.2.242:11111
love NATJRE,udp://224.1.4.1:11111
好消息,udp://224.1.4.4:11111
博斯运动-2,udp://224.1.4.5:11111
民视,udp://224.1.4.6:11111
中视,udp://224.1.4.10:11111
TECHStorm,udp://224.1.4.11:11111
ROCK,udp://224.1.4.14:11111
华视,udp://224.1.4.12:11111
Babytv,udp://224.1.4.9:11111
ESME&ROY,udp://224.1.4.15:11111
HOKKOTV,udp://224.1.4.17:11111
星衛电影台,udp://224.1.4.18:11111
美食星球,udp://224.1.4.19:11111
KIDS,udp://224.1.4.20:11111
IOI,udp://224.1.4.21:11111
SMART,udp://224.1.4.22:11111
靖洋卡通台,udp://224.1.4.23:11111
靖天卡通台,udp://224.1.4.25:11111
在未知音乐,udp://224.1.4.26:11111
五星,udp://224.1.4.27:11111
靖天育乐台,udp://224.1.4.28:11111
靖天咨询台,udp://224.1.4.30:11111
天天,udp://224.1.4.29:11111
中视经典,udp://224.1.4.33:11111
台视综合,udp://224.1.4.31:11111
台视财经,udp://224.1.4.32:11111
亚洲旅游台,udp://224.1.4.34:11111
龙华电影,udp://224.1.4.36:11111
龙华洋片,udp://224.1.4.37:11111
靖天映画,udp://224.1.4.38:11111
东森购物,udp://224.1.4.35:11111
靖天戏剧台,udp://224.1.4.40:11111
amc最爱电影,udp://224.1.4.43:11111
靖天电影台,udp://224.1.4.42:11111
龙华经典,udp://224.1.4.44:11111
龙华偶像,udp://224.1.4.39:11111
nickelodeon,udp://224.1.4.45:11111
博斯高球-2,udp://224.1.4.47:11111
博斯无限,udp://224.1.4.46:11111
龙华戏剧,udp://224.1.4.41:11111
博斯运动-1,udp://224.1.4.48:11111
博斯高球-1,udp://224.1.4.49:11111
中视新闻,udp://224.1.4.50:11111
寰宇新闻台,udp://224.1.4.51:11111
未知,udp://224.1.4.52:11111
公视,udp://224.1.4.53:11111
CTS华视新闻资讯,udp://224.1.4.55:11111
大爱,udp://224.1.4.54:11111
寰宇财经台,udp://224.1.4.56:11111
ETtodoy综合台,udp://224.1.4.59:11111
未知1,udp://224.1.4.58:11111
afn,udp://224.1.4.57:11111
EYETV戏剧,udp://224.1.4.60:11111
EYETV旅游,udp://224.1.4.61:11111
台湾戏剧台,udp://224.1.4.62:11111
彩虹台,udp://224.1.4.63:11111
K频道,udp://224.1.4.65:11111
彩虹电影,udp://224.1.4.64:11111
博斯网球,udp://224.1.4.66:11111
美好1台,udp://224.1.4.67:11111
松视-1,udp://224.1.4.68:11111
松视-3,udp://224.1.4.70:11111
松视-2,udp://224.1.4.69:11111
艺华台湾台,udp://224.1.4.71:11111
大立,udp://224.1.4.73:11111
古典音乐台,udp://224.1.4.74:11111
HAPPY,udp://224.1.4.72:11111
未知2,udp://224.1.4.75:11111
TITV,udp://224.1.4.76:11111
民视第一台,udp://224.1.4.77:11111
