凤凰中文,udp://239.93.0.162:2192
凤凰资讯,udp://239.93.0.118:2191
星空卫视,udp://239.93.0.156:2193
CHANNEL-V,udp://239.93.0.157:2194
四川卫视,udp://239.93.0.169:5140
四川康巴卫视,udp://239.93.0.41:5140
四川公共乡村,udp://239.93.0.52:5140
四川妇女儿童,udp://239.93.0.219:5140
四川影视文艺,udp://239.93.0.166:5140
四川经济,udp://239.93.1.101:5140
四川文化旅游,udp://239.93.1.20:5140
四川新闻,udp://239.93.0.47:5140
四川文化旅游,udp://239.93.1.102:5140
四川经济,udp://239.93.1.16:5140
峨眉电影,udp://239.93.1.54:5140
四川科教,udp://239.93.42.44:5140
四川乡村,udp://239.93.0.52:5140
康巴卫视,udp://239.93.0.41:5140
峨眉电影,udp://239.93.0.252:5140
CDTV-1,udp://239.93.0.16:5140
CDTV-2,udp://239.93.0.17:1239
CDTV-3,udp://239.93.0.18:1238
CDTV-4,udp://239.93.0.19:1250
CDTV-5,udp://239.93.1.231:5140
CDTV-6,udp://239.93.0.21:1251
CDTV-8,udp://239.93.0.22:1252
熊猫新闻,udp://239.93.1.112:5140
熊猫体娱,udp://239.93.0.94:5140
熊猫少儿,udp://239.93.1.189:5140
熊猫影院,udp://239.93.0.214:5140
熊猫频道,udp://239.93.0.211:9148
金熊猫卡通,udp://239.93.1.172:5140
熊猫爱生活,udp://239.93.1.190:5140
大爱四川,udp://239.93.1.110:5140
大爱旅游,udp://239.93.42.70:5140
大爱生活,udp://239.93.42.71:5140
大爱时尚,udp://239.93.42.72:5140
HD看电影,udp://239.93.42.47:5140
华语影院,udp://239.93.0.138:5140
星光院线,udp://239.93.0.139:5140
全球大片,udp://239.93.0.105:5140
热播剧场,udp://239.93.0.56:9020
热门剧场,udp://239.93.0.140:5140
港剧风云,udp://239.93.0.143:5140
谍战剧场,udp://239.93.0.95:5140
宝宝动画,udp://239.93.0.147:5140
少儿动画,udp://239.93.0.193:9000
青春动漫,udp://239.93.0.146:5140
热门综艺,udp://239.93.0.151:5140
音乐现场,udp://239.93.0.198:9044
戏曲精选,udp://239.93.0.144:5140
汽摩,udp://239.93.0.62:5140
电竞天堂,udp://239.93.1.135:5140
蓉城先锋,udp://239.93.0.91:2101
星空精选,udp://239.93.1.171:5140
爱怀旧,udp://239.93.42.21:5140
爱喜剧,udp://239.93.42.9:5140
爱奇谈,udp://239.93.42.22:5140
爱科幻,udp://239.93.42.10:5140
爱院线,udp://239.93.42.11:5140
爱谍战,udp://239.93.42.14:5140
爱经典,udp://239.93.42.13:5140
爱悬疑,udp://239.93.42.12:5140
爱青春,udp://239.93.42.16:5140
爱玩具,udp://239.93.42.18:5140
爱动漫,udp://239.93.42.23:5140
求索频道,udp://239.93.42.24:5140
爱电竞,udp://239.93.42.19:5140
绚影4K,udp://239.93.42.33:5140
天元围棋,udp://239.93.42.55:5140
热血剧场,udp://239.93.1.198:5140
乐龄学堂,udp://239.93.1.179:5140
亲子趣学4K,udp://239.93.1.191:5140
津津悦读4K,udp://239.93.1.197:5140
动画番剧,udp://239.93.1.177:5140
中录动漫4K,udp://239.93.1.188:5140
熊猫24小时,udp://239.93.1.178:5140
综艺咖秀,udp://239.93.1.175:5140
红色经典,udp://239.93.1.176:5140
4K超高清电影,udp://239.93.1.156:5140
4K乐享超清,udp://239.93.0.43:5140
i成都,udp://239.93.1.104:1234
直播室2,udp://239.93.1.181:5140
直播室3,udp://239.93.1.182:5140
直播室4,udp://239.93.1.183:5140
直播室5,udp://239.93.1.184:5140
直播室6,udp://239.93.1.185:5140
直播室7,udp://239.93.1.186:5140
直播室8,udp://239.93.1.187:5140
红原日干乔,udp://239.93.0.178:5140
红原月亮湾,udp://239.93.0.209:5140
雅克音乐节直播,udp://239.93.42.69:5140
云演艺宣传,udp://239.93.42.60:5140
创新及人才文化节,udp://239.93.42.59:5140
