山西卫视HD,udp://226.0.2.152:9128
山西黄河HD,udp://226.0.2.235:9792
山西经济与科技HD,udp://226.0.2.236:9800
山西影视HD,udp://226.0.2.237:9808
山西社会与法治HD,udp://226.0.2.238:9816
山西文体生活HD,udp://226.0.2.16:8040
山西卫视,udp://226.0.2.11:8000
山西黄河,udp://226.0.2.12:8008
山西经济与科技,udp://226.0.2.13:8016
山西影视,udp://226.0.2.14:8024
山西社会与法治,udp://226.0.2.15:8032
太原1,udp://226.0.2.201:9520
太原2,udp://226.0.2.202:9528
太原3,udp://226.0.2.203:9536
太原4,udp://226.0.2.204:9544
太原5,udp://226.0.2.205:9552
太原教育,udp://226.0.2.206:9560
朔州-1,udp://226.0.2.185:9392
朔州-2,udp://226.0.2.186:9400
孝义电视台,udp://226.0.2.189:9424
清徐HD,udp://226.0.2.191:9440
古交电视台,udp://226.0.2.192:9448
阳曲,udp://226.0.2.196:9480
晋能控股,udp://226.0.2.229:9744
大同教育HD,udp://226.0.2.232:9772
阳泉-1新闻综合,udp://226.0.2.233:9776
阳泉-2科教,udp://226.0.2.234:9784
