江苏卫视,udp://239.49.0.16:8120
江苏城市,udp://239.49.0.17:8128
江苏综艺,udp://239.49.0.18:8136
江苏体育休闲,udp://239.49.0.19:8144
江苏影视,udp://239.49.0.20:8152
优漫卡通,udp://239.49.0.21:8160
江苏新闻,udp://239.49.0.149:9186
江苏国际,udp://239.49.0.22:8168
江苏教育,udp://239.49.0.23:8176
财富天下,udp://239.49.0.166:9322
江苏卫视HD,udp://239.49.8.16:9602
江苏城市HD,udp://239.49.8.107:8000
江苏综艺HD,udp://239.49.8.108:8000
江苏体育休闲HD,udp://239.49.8.117:8000
江苏影视HD,udp://239.49.8.118:8000
优漫卡通HD,udp://239.49.8.119:8000
江苏教育HD,udp://239.49.8.122:8000
江苏新闻HD,udp://239.49.8.120:8000
