浙江卫视,udp://233.50.201.100:5140
浙江经济生活,udp://233.50.201.133:5140
浙江教育,udp://233.50.201.134:5140
浙江民生,udp://233.50.201.136:5140
浙江news,udp://233.50.201.137:5140
浙江少儿,udp://233.50.201.138:5140
钱江频道,udp://233.50.201.132:5140
杭州1综合,udp://233.50.201.173:5140
杭州2明珠,udp://233.50.201.174:5140
杭州3生活,udp://233.50.201.175:5140
杭州4影视,udp://233.50.201.176:5140
杭州5青少,udp://233.50.201.177:5140
宁波TV1,udp://233.50.201.168:5140
宁波TV2,udp://233.50.201.178:5140
宁波TV3,udp://233.50.201.179:5140
宁波TV4,udp://233.50.201.180:5140
温州新闻,udp://233.50.201.87:5140
衢州新闻,udp://233.50.201.155:5140
绍兴新闻,udp://233.50.201.156:5140
台州-1,udp://233.50.201.157:5140
之江记录,udp://233.50.202.25:5140
