安徽电信,#genre#
安徽卫视FHD★,http://117.57.78.231:8888/udp/238.1.79.27:4328
安徽经济HD,http://117.57.78.231:8888/udp/238.1.79.44:4464
安徽影视HD,http://117.57.78.231:8888/udp/238.1.79.42:4448
安徽公共HD,http://117.57.78.231:8888/udp/238.1.79.43:4456
安徽体育HD,http://117.57.78.231:8888/udp/238.1.79.41:4440
安徽科教HD,http://117.57.78.231:8888/udp/238.1.79.40:4432
安徽国际,http://117.57.78.231:8888/udp/238.1.78.61:6360
安徽导视,http://117.57.78.231:8888/udp/238.1.79.66:4664
黄山新闻★,http://117.57.78.231:8888/udp/238.1.78.130:6912
黄山公共,http://117.57.78.231:8888/udp/238.1.78.131:6920
屯溪融媒,http://117.57.78.231:8888/udp/238.1.79.45:4472
徽州新闻,http://117.57.78.231:8888/udp/238.1.78.138:6976
太平,http://117.57.78.231:8888/udp/238.1.78.199:7464
歙县综合,http://117.57.78.231:8888/udp/238.1.78.200:7472
休宁新闻,http://117.57.78.231:8888/udp/238.1.79.20:4272
祁门综合,http://117.57.78.231:8888/udp/238.1.79.14:4224
黟县新闻,http://117.57.78.231:8888/udp/238.1.78.149:7064
合肥新闻★,http://117.57.78.231:8888/udp/238.1.78.111:6760
肥东新闻,http://117.57.78.231:8888/udp/238.1.78.183:7336
肥东经济,http://117.57.78.231:8888/udp/238.1.78.184:7344
肥西新闻,http://117.57.78.231:8888/udp/238.1.78.185:7352
长丰,http://117.57.78.231:8888/udp/238.1.78.182:7328
蚌埠新闻★,http://117.57.78.231:8888/udp/238.1.78.180:7312
蚌埠公共,http://117.57.78.231:8888/udp/238.1.78.181:7320
五河新闻,http://117.57.78.231:8888/udp/238.1.79.52:4528
固镇新闻,http://117.57.78.231:8888/udp/238.1.79.47:4488
芜湖新闻★,http://117.57.78.231:8888/udp/238.1.78.112:6768
芜湖公共,http://117.57.78.231:8888/udp/238.1.78.80:6512
芜湖生活,http://117.57.78.231:8888/udp/238.1.78.152:7088
芜湖教育,http://117.57.78.231:8888/udp/238.1.78.167:7208
