北京联通,#genre#
BRTV北京卫视HD,http://123.113.181.108:9000/udp/239.3.1.241:8000
BRTV新闻HD,http://123.113.181.108:9000/udp/239.3.1.159:8000
BRTV影视HD,http://123.113.181.108:9000/udp/239.3.1.158:8000
BRTV文艺HD,http://123.113.181.108:9000/udp/239.3.1.242:8000
BRTV财经HD,http://123.113.181.108:9000/udp/239.3.1.116:8000
BRTV生活HD,http://123.113.181.108:9000/udp/239.3.1.117:8000
BRTV纪实科教HD,http://123.113.181.108:9000/udp/239.3.1.115:8000
BRTV卡酷少儿HD,http://123.113.181.108:9000/udp/239.3.1.189:8000
BRTV冬奥纪实HD,http://123.113.181.108:9000/udp/239.3.1.243:8000
BRTV体育休闲,http://123.113.181.108:9000/udp/239.3.1.243:8000
BTV国际频道,http://123.113.181.108:9000/udp/239.3.1.235:8000
中国交通HD,http://123.113.181.108:9000/udp/239.3.1.188:8001
朝阳融媒HD,http://123.113.181.108:9000/udp/239.3.1.163:8001
通州融媒HD,http://123.113.181.108:9000/udp/239.3.1.221:8001
密云电视台HD,http://123.113.181.108:9000/udp/239.3.1.154:8001
房山电视台,http://123.113.181.108:9000/udp/239.3.1.96:8001
爱上4K,http://123.113.181.108:9000/udp/239.3.1.236:2000
4K超清,http://123.113.181.108:9000/udp/239.3.1.249:8001
淘电影HD,http://123.113.181.108:9000/udp/239.3.1.250:8001
淘剧场HD,http://123.113.181.108:9000/udp/239.3.1.95:8001
淘娱乐HD,http://123.113.181.108:9000/udp/239.3.1.100:8001
淘BabyHD,http://123.113.181.108:9000/udp/239.3.1.238:8001
萌宠TVHD,http://123.113.181.108:9000/udp/239.3.1.102:8001
睛彩竞技HD,http://123.113.181.108:9000/udp/239.3.1.125:8001
睛彩篮球HD,http://123.113.181.108:9000/udp/239.3.1.126:8001
睛彩羽毛球HD,http://123.113.181.108:9000/udp/239.3.1.127:8001
睛彩广场舞HD,http://123.113.181.108:9000/udp/239.3.1.128:8001
淘精彩HD,http://123.113.181.108:9000/udp/239.3.1.178:8001
大健康HD,http://123.113.181.108:9000/udp/239.3.1.251:8001

BRTV北京卫视HD,http://123.120.48.22:4080/udp/239.3.1.241:8000
BRTV新闻HD,http://123.120.48.22:4080/udp/239.3.1.159:8000
BRTV影视HD,http://123.120.48.22:4080/udp/239.3.1.158:8000
BRTV文艺HD,http://123.120.48.22:4080/udp/239.3.1.242:8000
BRTV财经HD,http://123.120.48.22:4080/udp/239.3.1.116:8000
BRTV生活HD,http://123.120.48.22:4080/udp/239.3.1.117:8000
BRTV纪实科教HD,http://123.120.48.22:4080/udp/239.3.1.115:8000
BRTV卡酷少儿HD,http://123.120.48.22:4080/udp/239.3.1.189:8000
BRTV冬奥纪实HD,http://123.120.48.22:4080/udp/239.3.1.243:8000
BRTV体育休闲,http://123.120.48.22:4080/udp/239.3.1.243:8000
BTV国际频道,http://123.120.48.22:4080/udp/239.3.1.235:8000
中国交通HD,http://123.120.48.22:4080/udp/239.3.1.188:8001
朝阳融媒HD,http://123.120.48.22:4080/udp/239.3.1.163:8001
通州融媒HD,http://123.120.48.22:4080/udp/239.3.1.221:8001
密云电视台HD,http://123.120.48.22:4080/udp/239.3.1.154:8001
房山电视台,http://123.120.48.22:4080/udp/239.3.1.96:8001
爱上4K,http://123.120.48.22:4080/udp/239.3.1.236:2000
4K超清,http://123.120.48.22:4080/udp/239.3.1.249:8001
淘电影HD,http://123.120.48.22:4080/udp/239.3.1.250:8001
淘剧场HD,http://123.120.48.22:4080/udp/239.3.1.95:8001
淘娱乐HD,http://123.120.48.22:4080/udp/239.3.1.100:8001
淘BabyHD,http://123.120.48.22:4080/udp/239.3.1.238:8001
萌宠TVHD,http://123.120.48.22:4080/udp/239.3.1.102:8001
睛彩竞技HD,http://123.120.48.22:4080/udp/239.3.1.125:8001
睛彩篮球HD,http://123.120.48.22:4080/udp/239.3.1.126:8001
睛彩羽毛球HD,http://123.120.48.22:4080/udp/239.3.1.127:8001
睛彩广场舞HD,http://123.120.48.22:4080/udp/239.3.1.128:8001
淘精彩HD,http://123.120.48.22:4080/udp/239.3.1.178:8001
大健康HD,http://123.120.48.22:4080/udp/239.3.1.251:8001

BRTV北京卫视HD,http://123.120.54.36:4080/udp/239.3.1.241:8000
BRTV新闻HD,http://123.120.54.36:4080/udp/239.3.1.159:8000
BRTV影视HD,http://123.120.54.36:4080/udp/239.3.1.158:8000
BRTV文艺HD,http://123.120.54.36:4080/udp/239.3.1.242:8000
BRTV财经HD,http://123.120.54.36:4080/udp/239.3.1.116:8000
BRTV生活HD,http://123.120.54.36:4080/udp/239.3.1.117:8000
BRTV纪实科教HD,http://123.120.54.36:4080/udp/239.3.1.115:8000
BRTV卡酷少儿HD,http://123.120.54.36:4080/udp/239.3.1.189:8000
BRTV冬奥纪实HD,http://123.120.54.36:4080/udp/239.3.1.243:8000
BRTV体育休闲,http://123.120.54.36:4080/udp/239.3.1.243:8000
BTV国际频道,http://123.120.54.36:4080/udp/239.3.1.235:8000
中国交通HD,http://123.120.54.36:4080/udp/239.3.1.188:8001
朝阳融媒HD,http://123.120.54.36:4080/udp/239.3.1.163:8001
通州融媒HD,http://123.120.54.36:4080/udp/239.3.1.221:8001
密云电视台HD,http://123.120.54.36:4080/udp/239.3.1.154:8001
房山电视台,http://123.120.54.36:4080/udp/239.3.1.96:8001
爱上4K,http://123.120.54.36:4080/udp/239.3.1.236:2000
4K超清,http://123.120.54.36:4080/udp/239.3.1.249:8001
淘电影HD,http://123.120.54.36:4080/udp/239.3.1.250:8001
淘剧场HD,http://123.120.54.36:4080/udp/239.3.1.95:8001
淘娱乐HD,http://123.120.54.36:4080/udp/239.3.1.100:8001
淘BabyHD,http://123.120.54.36:4080/udp/239.3.1.238:8001
萌宠TVHD,http://123.120.54.36:4080/udp/239.3.1.102:8001
睛彩竞技HD,http://123.120.54.36:4080/udp/239.3.1.125:8001
睛彩篮球HD,http://123.120.54.36:4080/udp/239.3.1.126:8001
睛彩羽毛球HD,http://123.120.54.36:4080/udp/239.3.1.127:8001
睛彩广场舞HD,http://123.120.54.36:4080/udp/239.3.1.128:8001
淘精彩HD,http://123.120.54.36:4080/udp/239.3.1.178:8001
大健康HD,http://123.120.54.36:4080/udp/239.3.1.251:8001

