重庆电信,#genre#
重庆卫视,http://14.107.185.121:5555/udp/235.254.196.249:1268
CQTV影视,http://14.107.185.121:5555/udp/235.254.198.180:7980
CQTV都市,http://14.107.185.121:5555/udp/235.254.198.181:7980
CQTV时尚,http://14.107.185.121:5555/udp/235.254.198.182:7980
CQTV娱乐,http://14.107.185.121:5555/udp/235.254.198.187:7980
CQTV公共农村,http://14.107.185.121:5555/udp/235.254.198.186:7980

重庆卫视,http://14.109.188.108:6666/udp/235.254.196.249:1268
CQTV影视,http://14.109.188.108:6666/udp/235.254.198.180:7980
CQTV都市,http://14.109.188.108:6666/udp/235.254.198.181:7980
CQTV时尚,http://14.109.188.108:6666/udp/235.254.198.182:7980
CQTV娱乐,http://14.109.188.108:6666/udp/235.254.198.187:7980
CQTV公共农村,http://14.109.188.108:6666/udp/235.254.198.186:7980

重庆卫视,http://222.182.55.161:10000/udp/235.254.196.249:1268
CQTV影视,http://222.182.55.161:10000/udp/235.254.198.180:7980
CQTV都市,http://222.182.55.161:10000/udp/235.254.198.181:7980
CQTV时尚,http://222.182.55.161:10000/udp/235.254.198.182:7980
CQTV娱乐,http://222.182.55.161:10000/udp/235.254.198.187:7980
CQTV公共农村,http://222.182.55.161:10000/udp/235.254.198.186:7980

