甘肃电信,#genre#
甘肃影视,http://60.164.128.167:8029/udp/239.255.30.250:8231
甘肃少儿,http://60.164.128.167:8029/udp/239.255.30.254:8231
甘肃经济,http://60.164.128.167:8029/udp/239.255.30.253:8231
甘肃公共,http://60.164.128.167:8029/udp/239.255.30.251:8231
甘肃都市,http://60.164.128.167:8029/udp/239.255.30.252:8231
陇上生活,http://60.164.128.167:8029/udp/239.255.30.73:8231
临夏新闻,http://60.164.128.167:8029/udp/239.255.30.107:8231
临夏文旅,http://60.164.128.167:8029/udp/239.255.30.108:8231
临夏经济,http://60.164.128.167:8029/udp/239.255.30.106:8231
YZTV,http://60.164.128.167:8029/udp/239.255.30.175:8231

甘肃影视,http://42.92.117.243:8888/udp/239.255.30.250:8231
甘肃少儿,http://42.92.117.243:8888/udp/239.255.30.254:8231
甘肃经济,http://42.92.117.243:8888/udp/239.255.30.253:8231
甘肃公共,http://42.92.117.243:8888/udp/239.255.30.251:8231
甘肃都市,http://42.92.117.243:8888/udp/239.255.30.252:8231
陇上生活,http://42.92.117.243:8888/udp/239.255.30.73:8231
临夏新闻,http://42.92.117.243:8888/udp/239.255.30.107:8231
临夏文旅,http://42.92.117.243:8888/udp/239.255.30.108:8231
临夏经济,http://42.92.117.243:8888/udp/239.255.30.106:8231
YZTV,http://42.92.117.243:8888/udp/239.255.30.175:8231

甘肃影视,http://118.183.212.29:6868/udp/239.255.30.250:8231
甘肃少儿,http://118.183.212.29:6868/udp/239.255.30.254:8231
甘肃经济,http://118.183.212.29:6868/udp/239.255.30.253:8231
甘肃公共,http://118.183.212.29:6868/udp/239.255.30.251:8231
甘肃都市,http://118.183.212.29:6868/udp/239.255.30.252:8231
陇上生活,http://118.183.212.29:6868/udp/239.255.30.73:8231
临夏新闻,http://118.183.212.29:6868/udp/239.255.30.107:8231
临夏文旅,http://118.183.212.29:6868/udp/239.255.30.108:8231
临夏经济,http://118.183.212.29:6868/udp/239.255.30.106:8231
YZTV,http://118.183.212.29:6868/udp/239.255.30.175:8231

