贵州电信,#genre#
贵州卫视_HD,http://218.86.153.64:9007/udp/238.255.2.1:5999
贵州-2_HD,http://218.86.153.64:9007/udp/238.255.2.2:5999
贵州-3套-HD,http://218.86.153.64:9007/udp/238.255.2.3:5999
贵州-4套-HD,http://218.86.153.64:9007/udp/238.255.2.4:5999
贵州-5_HD,http://218.86.153.64:9007/udp/238.255.2.5:5999
贵州-6_HD,http://218.86.153.64:9007/udp/238.255.2.6:5999
贵州移动电视_SD,http://218.86.153.64:9007/udp/238.255.2.117:5999
贵阳1套_HD,http://218.86.153.64:9007/udp/238.255.2.19:5999
贵阳2套,http://218.86.153.64:9007/udp/238.255.2.20:5999
贵阳3套,http://218.86.153.64:9007/udp/238.255.2.22:5999
铜仁-1综合,http://218.86.153.64:9007/udp/238.255.2.31:5999
铜仁-2公共,http://218.86.153.64:9007/udp/238.255.2.87:5999
六盘水-1_HD,http://218.86.153.64:9007/udp/238.255.2.115:5999
六盘水-2_HD,http://218.86.153.64:9007/udp/238.255.2.116:5999
黔西南-综合_HD,http://218.86.153.64:9007/udp/238.255.2.126:5999
黔西南-公共频道_HD,http://218.86.153.64:9007/udp/238.255.2.127:5999
雷山综合_HD,http://218.86.153.64:9007/udp/238.255.2.128:5999
毕节1套_HD,http://218.86.153.64:9007/udp/238.255.2.131:5999
毕节2套_HD,http://218.86.153.64:9007/udp/238.255.2.132:5999
黔南1_HD,http://218.86.153.64:9007/udp/238.255.2.150:5999
黔南2_HD,http://218.86.153.64:9007/udp/238.255.2.151:5999
遵义-公共频道_HD,http://218.86.153.64:9007/udp/238.255.2.152:5999
遵义-综合频道_HD,http://218.86.153.64:9007/udp/238.255.2.153:5999
遵义-都市频道_HD,http://218.86.153.64:9007/udp/238.255.2.154:5999
安顺1-新闻频道_HD,http://218.86.153.64:9007/udp/238.255.2.157:5999
安顺2-公共频道_HD,http://218.86.153.64:9007/udp/238.255.2.158:5999
黔西1_HD,http://218.86.153.64:9007/udp/238.255.2.161:5999
桐梓频道,http://218.86.153.64:9007/udp/238.255.2.162:5999
黔东南_新闻综合_HD,http://218.86.153.64:9007/udp/238.255.2.179:5999
凯里频道_HD,http://218.86.153.64:9007/udp/238.255.2.180:5999
观山湖-VirtualBroadcast,http://218.86.153.64:9007/udp/238.255.2.183:5999
安龙-VirtualBroadcast,http://218.86.153.64:9007/udp/238.255.2.187:5999
云岩_VirtualBroadcast,http://218.86.153.64:9007/udp/238.255.2.200:5999
瓮安新闻综合_HD,http://218.86.153.64:9007/udp/238.255.2.201:5999
瓮安新闻综合_HD,http://218.86.153.64:9007/udp/238.255.2.216:5999
思南综合频道_HD,http://218.86.153.64:9007/udp/238.255.2.218:5999

