海南电信,#genre#
海南卫视,http://223.199.157.213:2222/udp/239.253.64.5:5140
三沙卫视,http://223.199.157.213:2222/udp/239.253.64.113:5140
海南公共,http://223.199.157.213:2222/udp/239.253.64.2:5140
海南少儿,http://223.199.157.213:2222/udp/239.253.64.4:5140
海南文旅,http://223.199.157.213:2222/udp/239.253.64.3:5140
海南新闻,http://223.199.157.213:2222/udp/239.253.64.11:5140
海南经济,http://223.199.157.213:2222/udp/239.253.64.1:5140
海口1,http://223.199.157.213:2222/udp/239.253.64.6:5140
海口2,http://223.199.157.213:2222/udp/239.253.64.7:5140
海口3,http://223.199.157.213:2222/udp/239.253.64.8:5140
三亚1,http://223.199.157.213:2222/udp/239.253.64.9:5140
文昌TV,http://223.199.157.213:2222/udp/239.253.64.105:5140
白沙TV,http://223.199.157.213:2222/udp/239.253.64.118:5140
昌江TV,http://223.199.157.213:2222/udp/239.253.64.108:5140
五指山TV,http://223.199.157.213:2222/udp/239.253.64.69:5140
儋州TV,http://223.199.157.213:2222/udp/239.253.64.107:5140
澄迈TV,http://223.199.157.213:2222/udp/239.253.64.109:5140
保亭TV,http://223.199.157.213:2222/udp/239.253.64.159:5140
陵水TV,http://223.199.157.213:2222/udp/239.253.64.116:5140
万宁TV,http://223.199.157.213:2222/udp/239.253.64.167:5140
临高TV,http://223.199.157.213:2222/udp/239.253.64.155:5140
屯昌TV,http://223.199.157.213:2222/udp/239.253.64.117:5140
琼海TV,http://223.199.157.213:2222/udp/239.253.64.106:5140
定安TV,http://223.199.157.213:2222/udp/239.253.64.110:5140
东方TV,http://223.199.157.213:2222/udp/239.253.64.111:5140
琼中TV,http://223.199.157.213:2222/udp/239.253.64.165:5140
乐东TV,http://223.199.157.213:2222/udp/239.253.64.166:5140
海南风景,http://223.199.157.213:2222/udp/239.253.64.52:5140

海南卫视,http://223.199.154.71:2222/udp/239.253.64.5:5140
三沙卫视,http://223.199.154.71:2222/udp/239.253.64.113:5140
海南公共,http://223.199.154.71:2222/udp/239.253.64.2:5140
海南少儿,http://223.199.154.71:2222/udp/239.253.64.4:5140
海南文旅,http://223.199.154.71:2222/udp/239.253.64.3:5140
海南新闻,http://223.199.154.71:2222/udp/239.253.64.11:5140
海南经济,http://223.199.154.71:2222/udp/239.253.64.1:5140
海口1,http://223.199.154.71:2222/udp/239.253.64.6:5140
海口2,http://223.199.154.71:2222/udp/239.253.64.7:5140
海口3,http://223.199.154.71:2222/udp/239.253.64.8:5140
三亚1,http://223.199.154.71:2222/udp/239.253.64.9:5140
文昌TV,http://223.199.154.71:2222/udp/239.253.64.105:5140
白沙TV,http://223.199.154.71:2222/udp/239.253.64.118:5140
昌江TV,http://223.199.154.71:2222/udp/239.253.64.108:5140
五指山TV,http://223.199.154.71:2222/udp/239.253.64.69:5140
儋州TV,http://223.199.154.71:2222/udp/239.253.64.107:5140
澄迈TV,http://223.199.154.71:2222/udp/239.253.64.109:5140
保亭TV,http://223.199.154.71:2222/udp/239.253.64.159:5140
陵水TV,http://223.199.154.71:2222/udp/239.253.64.116:5140
万宁TV,http://223.199.154.71:2222/udp/239.253.64.167:5140
临高TV,http://223.199.154.71:2222/udp/239.253.64.155:5140
屯昌TV,http://223.199.154.71:2222/udp/239.253.64.117:5140
琼海TV,http://223.199.154.71:2222/udp/239.253.64.106:5140
定安TV,http://223.199.154.71:2222/udp/239.253.64.110:5140
东方TV,http://223.199.154.71:2222/udp/239.253.64.111:5140
琼中TV,http://223.199.154.71:2222/udp/239.253.64.165:5140
乐东TV,http://223.199.154.71:2222/udp/239.253.64.166:5140
海南风景,http://223.199.154.71:2222/udp/239.253.64.52:5140

海南卫视,http://223.199.156.115:2222/udp/239.253.64.5:5140
三沙卫视,http://223.199.156.115:2222/udp/239.253.64.113:5140
海南公共,http://223.199.156.115:2222/udp/239.253.64.2:5140
海南少儿,http://223.199.156.115:2222/udp/239.253.64.4:5140
海南文旅,http://223.199.156.115:2222/udp/239.253.64.3:5140
海南新闻,http://223.199.156.115:2222/udp/239.253.64.11:5140
海南经济,http://223.199.156.115:2222/udp/239.253.64.1:5140
海口1,http://223.199.156.115:2222/udp/239.253.64.6:5140
海口2,http://223.199.156.115:2222/udp/239.253.64.7:5140
海口3,http://223.199.156.115:2222/udp/239.253.64.8:5140
三亚1,http://223.199.156.115:2222/udp/239.253.64.9:5140
文昌TV,http://223.199.156.115:2222/udp/239.253.64.105:5140
白沙TV,http://223.199.156.115:2222/udp/239.253.64.118:5140
昌江TV,http://223.199.156.115:2222/udp/239.253.64.108:5140
五指山TV,http://223.199.156.115:2222/udp/239.253.64.69:5140
儋州TV,http://223.199.156.115:2222/udp/239.253.64.107:5140
澄迈TV,http://223.199.156.115:2222/udp/239.253.64.109:5140
保亭TV,http://223.199.156.115:2222/udp/239.253.64.159:5140
陵水TV,http://223.199.156.115:2222/udp/239.253.64.116:5140
万宁TV,http://223.199.156.115:2222/udp/239.253.64.167:5140
临高TV,http://223.199.156.115:2222/udp/239.253.64.155:5140
屯昌TV,http://223.199.156.115:2222/udp/239.253.64.117:5140
琼海TV,http://223.199.156.115:2222/udp/239.253.64.106:5140
定安TV,http://223.199.156.115:2222/udp/239.253.64.110:5140
东方TV,http://223.199.156.115:2222/udp/239.253.64.111:5140
琼中TV,http://223.199.156.115:2222/udp/239.253.64.165:5140
乐东TV,http://223.199.156.115:2222/udp/239.253.64.166:5140
海南风景,http://223.199.156.115:2222/udp/239.253.64.52:5140

