河北电信,#genre#
凤凰卫视电影台,http://27.190.24.36:11001/udp/239.254.201.1:5214
凤凰卫视中文台,http://27.190.24.36:11001/udp/239.254.201.2:5226
凤凰卫视资讯台,http://27.190.24.36:11001/udp/239.254.201.3:5227
河北卫视,http://27.190.24.36:11001/udp/239.254.200.174:6000
河北经济生活,http://27.190.24.36:11001/udp/239.254.200.18:6000
河北都市,http://27.190.24.36:11001/udp/239.254.200.19:6000
河北影视剧,http://27.190.24.36:11001/udp/239.254.200.20:6000
河北少儿科教,http://27.190.24.36:11001/udp/239.254.200.21:6000
河北公共,http://27.190.24.36:11001/udp/239.254.200.22:6000
河北农民,http://27.190.24.36:11001/udp/239.254.200.23:6000
睛彩河北,http://27.190.24.36:11001/udp/239.254.200.27:6000
河北杂技频道,http://27.190.24.36:11001/udp/239.254.201.139:7203
石家庄新闻综合,http://27.190.24.36:11001/udp/239.254.200.157:6000
石家庄娱乐,http://27.190.24.36:11001/udp/239.254.200.29:6000
石家庄生活,http://27.190.24.36:11001/udp/239.254.200.30:6000
石家庄都市,http://27.190.24.36:11001/udp/239.254.200.31:6000
承德新闻综合,http://27.190.24.36:11001/udp/239.254.200.32:6000
承德公共,http://27.190.24.36:11001/udp/239.254.200.33:6000
张家口新闻综合,http://27.190.24.36:11001/udp/239.254.200.35:6000
张家口公共,http://27.190.24.36:11001/udp/239.254.200.36:6000
秦皇岛新闻综合,http://27.190.24.36:11001/udp/239.254.200.39:6000
秦皇岛公共,http://27.190.24.36:11001/udp/239.254.200.40:6000
秦皇岛影视,http://27.190.24.36:11001/udp/239.254.200.41:6000
唐山新闻综合,http://27.190.24.36:11001/udp/239.254.200.166:6000
唐山生活服务,http://27.190.24.36:11001/udp/239.254.200.167:6000
唐山影视,http://27.190.24.36:11001/udp/239.254.200.168:6000
唐山公共,http://27.190.24.36:11001/udp/239.254.200.169:6000
廊坊新闻,http://27.190.24.36:11001/udp/239.254.200.183:6000
廊坊公共,http://27.190.24.36:11001/udp/239.254.200.184:6000
沧州新闻综合,http://27.190.24.36:11001/udp/239.254.200.42:6000
沧州公共,http://27.190.24.36:11001/udp/239.254.200.43:6000
沧州影视娱乐,http://27.190.24.36:11001/udp/239.254.200.44:6000
保定新闻综合,http://27.190.24.36:11001/udp/239.254.200.144:6000
保定公共频道,http://27.190.24.36:11001/udp/239.254.200.145:6000
保定生活健康,http://27.190.24.36:11001/udp/239.254.200.146:6000
衡水新闻综合,http://27.190.24.36:11001/udp/239.254.200.147:6000
衡水公共,http://27.190.24.36:11001/udp/239.254.200.149:6000
邢台综合,http://27.190.24.36:11001/udp/239.254.200.150:6000
邢台城市生活,http://27.190.24.36:11001/udp/239.254.200.152:6000
邯郸新闻综合,http://27.190.24.36:11001/udp/239.254.200.153:6000
邯郸公共,http://27.190.24.36:11001/udp/239.254.200.154:6000
邯郸科技教育,http://27.190.24.36:11001/udp/239.254.200.155:6000
张北电视,http://27.190.24.36:11001/udp/239.254.201.130:5271
