河南电信,#genre#
河南卫视,http://123.52.47.14:8800/udp/239.16.10.119:2000
河南都市,http://123.52.47.14:8800/udp/239.16.10.120:2000
河南民生,http://123.52.47.14:8800/udp/239.16.10.121:2000
河南法治,http://123.52.47.14:8800/udp/239.16.10.122:2000
河南电视剧,http://123.52.47.14:8800/udp/239.16.10.123:2000
河南新闻,http://123.52.47.14:8800/udp/239.16.10.124:2000
河南公共,http://123.52.47.14:8800/udp/239.16.10.126:2000
健康中原,http://123.52.47.14:8800/udp/239.16.10.131:2000
河南戏曲,http://123.52.47.14:8800/udp/239.16.10.148:2000
河南文博,http://123.52.47.14:8800/udp/239.16.10.149:2000
河南功夫,http://123.52.47.14:8800/udp/239.16.10.150:2000
河南移动戏曲,http://123.52.47.14:8800/udp/239.16.20.120:11200
河南睛彩中原,http://123.52.47.14:8800/udp/239.16.20.122:11220
河南乡村,http://123.52.47.14:8800/udp/239.16.10.181:2000
河南国际,http://123.52.47.14:8800/udp/239.16.10.182:2000
河南移动电视,http://123.52.47.14:8800/udp/239.16.10.79:2000
百姓调解,http://123.52.47.14:8800/udp/239.16.10.183:2000
大象新闻,http://123.52.47.14:8800/udp/239.16.10.192:2000
河南都市,http://123.52.47.14:8800/udp/239.16.20.164:11640
河南民生,http://123.52.47.14:8800/udp/239.16.20.165:11650
河南法治,http://123.52.47.14:8800/udp/239.16.20.166:11660
河南电视剧,http://123.52.47.14:8800/udp/239.16.20.167:11670
河南新闻,http://123.52.47.14:8800/udp/239.16.20.168:11680
河南公共,http://123.52.47.14:8800/udp/239.16.20.170:11700
河南梨园,http://123.52.47.14:8800/udp/239.16.20.171:11710
河南文物宝库,http://123.52.47.14:8800/udp/239.16.20.172:11720
河南武术世界,http://123.52.47.14:8800/udp/239.16.20.173:11730

郑州1新闻综合,http://123.52.47.14:8800/udp/239.16.10.154:2000
郑州2商都,http://123.52.47.14:8800/udp/239.16.10.155:2000
郑州3文体,http://123.52.47.14:8800/udp/239.16.10.156:2000
郑州4影视戏曲,http://123.52.47.14:8800/udp/239.16.10.157:2000
郑州5妇女儿童,http://123.52.47.14:8800/udp/239.16.10.158:2000
郑州6都市生活,http://123.52.47.14:8800/udp/239.16.10.159:2000

新乡县综合,http://123.52.47.14:8800/udp/239.16.20.18:10180
封丘1新闻综合,http://123.52.47.14:8800/udp/239.16.20.19:10190
邓州综合,http://123.52.47.14:8800/udp/239.16.20.20:10200
获嘉综合,http://123.52.47.14:8800/udp/239.16.20.25:10250
平顶山教育台,http://123.52.47.14:8800/udp/239.16.20.27:10270
大剧院,http://123.52.47.14:8800/udp/239.16.20.29:10290
平煤综合,http://123.52.47.14:8800/udp/239.16.20.30:10300
平煤安全环保,http://123.52.47.14:8800/udp/239.16.20.31:10310
叶县电视台-1,http://123.52.47.14:8800/udp/239.16.20.32:10320
新密综合,http://123.52.47.14:8800/udp/239.16.20.41:10410
登封综合,http://123.52.47.14:8800/udp/239.16.20.42:10420
巩义综合,http://123.52.47.14:8800/udp/239.16.20.43:10430
荥阳综合,http://123.52.47.14:8800/udp/239.16.20.44:10440
新郑TV-1,http://123.52.47.14:8800/udp/239.16.20.45:10450
渑池新闻综合,http://123.52.47.14:8800/udp/239.16.20.47:10470
淅川电视台-1,http://123.52.47.14:8800/udp/239.16.20.48:10480
新蔡TV,http://123.52.47.14:8800/udp/239.16.20.49:10490
镇平新闻综合,http://123.52.47.14:8800/udp/239.16.20.50:10500
健康中原,http://123.52.47.14:8800/udp/239.16.20.52:10520
灵宝综合,http://123.52.47.14:8800/udp/239.16.20.59:10590
宝丰TV-1,http://123.52.47.14:8800/udp/239.16.20.63:10630
CETV-1,http://123.52.47.14:8800/udp/239.16.20.78:10780
南乐综合,http://123.52.47.14:8800/udp/239.16.20.108:11080
义马电视台,http://123.52.47.14:8800/udp/239.16.20.109:11090
渑池新闻综合,http://123.52.47.14:8800/udp/239.16.20.135:11350
叶县电视台-1,http://123.52.47.14:8800/udp/239.16.20.136:11360
平顶山新闻综合,http://123.52.47.14:8800/udp/239.16.20.137:11370
新乡新闻综合,http://123.52.47.14:8800/udp/239.16.20.139:11390
焦作综合,http://123.52.47.14:8800/udp/239.16.20.140:11400
鹤壁新闻综合,http://123.52.47.14:8800/udp/239.16.20.142:11420
安阳新闻综合,http://123.52.47.14:8800/udp/239.16.20.144:11440
三门峡新闻综合,http://123.52.47.14:8800/udp/239.16.20.145:11450
平顶山城市,http://123.52.47.14:8800/udp/239.16.20.151:11510
平顶山公共,http://123.52.47.14:8800/udp/239.16.20.152:11520
新乡公共,http://123.52.47.14:8800/udp/239.16.20.154:11540
焦作公共,http://123.52.47.14:8800/udp/239.16.20.155:11550
焦作教育,http://123.52.47.14:8800/udp/239.16.20.157:11570


济源-1,http://123.52.47.14:8800/udp/239.16.20.174:11740
濮阳新闻综合,http://123.52.47.14:8800/udp/239.16.20.175:11750
洛阳-2 科教,http://123.52.47.14:8800/udp/239.16.20.177:11770
洛阳-3文旅,http://123.52.47.14:8800/udp/239.16.20.178:11780
洛阳-1新闻综合,http://123.52.47.14:8800/udp/239.16.20.179:11790
新县综合,http://123.52.47.14:8800/udp/239.16.20.183:11830
濮阳公共,http://123.52.47.14:8800/udp/239.16.20.184:11840
卫辉电视台,http://123.52.47.14:8800/udp/239.16.20.191:11910
孟津综合,http://123.52.47.14:8800/udp/239.16.20.192:11920
安阳科教,http://123.52.47.14:8800/udp/239.16.20.193:11930
河南乡村,http://123.52.47.14:8800/udp/239.16.20.195:11950
河南国际,http://123.52.47.14:8800/udp/239.16.20.196:11960
河南调解剧场,http://123.52.47.14:8800/udp/239.16.20.197:11970
通许综合,http://123.52.47.14:8800/udp/239.16.20.198:11980
河南卫视4K测试 6M1080,http://123.52.47.14:8800/udp/239.16.20.199:11990
河南移动电视,http://123.52.47.14:8800/udp/239.16.20.204:12040
淇县电视台,http://123.52.47.14:8800/udp/239.16.20.205:12050
宜阳综合,http://123.52.47.14:8800/udp/239.16.20.206:12060
汝阳综合,http://123.52.47.14:8800/udp/239.16.20.207:12070
原阳电视台,http://123.52.47.14:8800/udp/239.16.20.208:12080
宝丰-1,http://123.52.47.14:8800/udp/239.16.20.209:12090
延津电视台,http://123.52.47.14:8800/udp/239.16.20.210:12100
江西陶瓷,http://123.52.47.14:8800/udp/239.16.20.214:12140
体育赛事,http://123.52.47.14:8800/udp/239.16.20.215:12150
大象新闻,http://123.52.47.14:8800/udp/239.16.20.216:12160
大剧院,http://123.52.47.14:8800/udp/239.16.20.217:12170
百视通4K测试,http://123.52.47.14:8800/udp/239.16.20.223:12230
百视通4K测试,http://123.52.47.14:8800/udp/239.16.20.225:12250
舞钢电视台-1,http://123.52.47.14:8800/udp/239.16.20.227:12270
内黄综合,http://123.52.47.14:8800/udp/239.16.20.228:12280
国学频道,http://123.52.47.14:8800/udp/239.16.20.232:12320
嵩县综合新闻,http://123.52.47.14:8800/udp/239.16.20.234:12340
郏县综合,http://123.52.47.14:8800/udp/239.16.20.235:12350
义马电视台,http://123.52.47.14:8800/udp/239.16.20.236:12360
南乐综合,http://123.52.47.14:8800/udp/239.16.20.237:12370
4K测试,http://123.52.47.14:8800/udp/239.16.20.238:12380
健康中原,http://123.52.47.14:8800/udp/239.16.20.239:12390
卢氏综合,http://123.52.47.14:8800/udp/239.16.20.240:12400
平煤综合,http://123.52.47.14:8800/udp/239.16.20.241:12410
国学频道,http://123.52.47.14:8800/udp/239.16.20.242:12420
大美河南,http://123.52.47.14:8800/udp/239.16.20.243:12430
平煤安全环保,http://123.52.47.14:8800/udp/239.16.20.244:12440
百视通4K测试,http://123.52.47.14:8800/udp/239.16.20.249:12490
新密综合,http://123.52.47.14:8800/udp/239.16.10.31:2000
登封综合,http://123.52.47.14:8800/udp/239.16.10.32:2000
巩义综合,http://123.52.47.14:8800/udp/239.16.10.33:2000
荥阳综合,http://123.52.47.14:8800/udp/239.16.10.34:2000
新郑TV-1,http://123.52.47.14:8800/udp/239.16.10.35:2000
淅川电视台-1,http://123.52.47.14:8800/udp/239.16.10.38:2000
禹州电视台,http://123.52.47.14:8800/udp/239.16.10.39:2000
西平电视台-1,http://123.52.47.14:8800/udp/239.16.10.41:2000
海南卫视,http://123.52.47.14:8800/udp/239.16.10.43:2000
优漫卡通,http://123.52.47.14:8800/udp/239.16.10.44:2000
新蔡TV,http://123.52.47.14:8800/udp/239.16.10.45:2000
