河南联通,#genre#
河南卫视4K,http://219.157.255.62:8888/udp/225.1.4.254:1300
河南都市,http://219.157.255.62:8888/udp/225.1.4.52:1081
河南民生,http://219.157.255.62:8888/udp/225.1.4.53:1082
河南法治,http://219.157.255.62:8888/udp/225.1.4.54:1083
河南电视剧,http://219.157.255.62:8888/udp/225.1.4.55:1084
河南新闻,http://219.157.255.62:8888/udp/225.1.4.56:1085
河南公共,http://219.157.255.62:8888/udp/225.1.4.58:1087
河南乡村,http://219.157.255.62:8888/udp/225.1.4.120:1149
河南国际,http://219.157.255.62:8888/udp/225.1.4.102:1131
河南戏曲,http://219.157.255.62:8888/udp/225.1.4.99:1128
河南文博,http://219.157.255.62:8888/udp/225.1.4.100:1129
河南功夫,http://219.157.255.62:8888/udp/225.1.4.101:1130
睛彩中原,http://219.157.255.62:8888/udp/225.1.4.163:1203
移动戏曲,http://219.157.255.62:8888/udp/225.1.4.206:1254
河南移动,http://219.157.255.62:8888/udp/225.1.5.40:1350
健康中原,http://219.157.255.62:8888/udp/225.1.5.48:1358
河南导视,http://219.157.255.62:8888/udp/225.1.4.194:1244
郑州新闻,http://219.157.255.62:8888/udp/225.1.4.140:1176
郑州商都,http://219.157.255.62:8888/udp/225.1.4.141:1177
郑州文旅,http://219.157.255.62:8888/udp/225.1.4.142:1178
郑州影视,http://219.157.255.62:8888/udp/225.1.4.146:1182
郑州妇女,http://219.157.255.62:8888/udp/225.1.4.147:1183
郑州都市,http://219.157.255.62:8888/udp/225.1.4.149:1185
郑州教育,http://219.157.255.62:8888/udp/225.1.4.191:1241
新密新闻,http://219.157.255.62:8888/udp/225.1.4.239:1285
新郑综合,http://219.157.255.62:8888/udp/225.1.4.243:1289
中牟综合,http://219.157.255.62:8888/udp/225.1.4.244:1290
巩义综合,http://219.157.255.62:8888/udp/225.1.5.50:1360

