内蒙古电信,#genre#
内蒙古卫视hd,http://121.56.146.116:4848/udp/239.29.0.2:5000
内蒙经济,http://121.56.146.116:4848/udp/239.29.0.212:5000
内蒙新闻,http://121.56.146.116:4848/udp/239.29.0.208:5000
内蒙文体娱乐,http://121.56.146.116:4848/udp/239.29.0.211:5000
内蒙农牧,http://121.56.146.116:4848/udp/239.29.0.209:5000
内蒙少儿,http://121.56.146.116:4848/udp/239.29.0.207:5000
内蒙蒙语,http://121.56.146.116:4848/udp/239.29.0.210:5000
呼市都市,http://121.56.146.116:4848/udp/239.29.0.36:5000
呼市新闻,http://121.56.146.116:4848/udp/239.29.0.35:5000
呼市影视,http://121.56.146.116:4848/udp/239.29.0.37:5000
包头经济,http://121.56.146.116:4848/udp/239.29.0.204:5000
包头生活,http://121.56.146.116:4848/udp/239.29.0.112:5000
包头新闻,http://121.56.146.116:4848/udp/239.29.0.111:5000
乌海新闻,http://121.56.146.116:4848/udp/239.29.0.11:5000
乌海都市,http://121.56.146.116:4848/udp/239.29.0.12:5000
乌盟经济,http://121.56.146.116:4848/udp/239.29.0.23:5000
乌盟新闻,http://121.56.146.116:4848/udp/239.29.0.22:5000
乌盟生活,http://121.56.146.116:4848/udp/239.29.0.24:5000
赤峰新闻,http://121.56.146.116:4848/udp/239.29.0.13:5000
赤峰经济,http://121.56.146.116:4848/udp/239.29.0.14:5000
赤峰影视,http://121.56.146.116:4848/udp/239.29.0.15:5000
兴安新闻,http://121.56.146.116:4848/udp/239.29.0.16:5000
兴安文化,http://121.56.146.116:4848/udp/239.29.0.17:5000
兴安影视,http://121.56.146.116:4848/udp/239.29.0.18:5000
通辽城市,http://121.56.146.116:4848/udp/239.29.0.42:5000
通辽新闻,http://121.56.146.116:4848/udp/239.29.0.41:5000
通辽蒙语,http://121.56.146.116:4848/udp/239.29.0.40:5000
阿拉善新闻,http://121.56.146.116:4848/udp/239.29.0.28:5000
阿拉善经济,http://121.56.146.116:4848/udp/239.29.0.29:5000
呼伦贝尔新闻,http://121.56.146.116:4848/udp/239.29.0.19:5000
呼伦贝尔文游,http://121.56.146.116:4848/udp/239.29.0.20:5000
呼伦贝尔资讯,http://121.56.146.116:4848/udp/239.29.0.21:5000
巴彦淖尔新闻,http://121.56.146.116:4848/udp/239.29.0.25:5000
巴彦淖尔经济,http://121.56.146.116:4848/udp/239.29.0.26:5000
巴彦淖尔影视,http://121.56.146.116:4848/udp/239.29.0.27:5000
鄂尔多斯新闻,http://121.56.146.116:4848/udp/239.29.0.30:5000
鄂尔多斯生活,http://121.56.146.116:4848/udp/239.29.0.32:5000
鄂尔多斯经济,http://121.56.146.116:4848/udp/239.29.0.31:5000
鄂尔多斯蒙语,http://121.56.146.116:4848/udp/239.29.0.33:5000
锡林郭勒1,http://121.56.146.116:4848/udp/239.29.0.38:5000
锡林郭勒2,http://121.56.146.116:4848/udp/239.29.0.39:5000
苏尼特左旗,http://121.56.146.116:4848/udp/239.29.0.190:5000
苏尼特右旗,http://121.56.146.116:4848/udp/239.29.0.191:5000
乌拉特前旗,http://121.56.146.116:4848/udp/239.29.0.150:5000
乌拉特中旗,http://121.56.146.116:4848/udp/239.29.0.152:5000
乌拉特后旗,http://121.56.146.116:4848/udp/239.29.0.151:5000
突泉,http://121.56.146.116:4848/udp/239.29.0.174:5000
磴口,http://121.56.146.116:4848/udp/239.29.0.156:5000
多伦,http://121.56.146.116:4848/udp/239.29.0.155:5000
杭后,http://121.56.146.116:4848/udp/239.29.0.149:5000
