吉林电信,#genre#
吉林卫视普清,http://124.235.218.125:30007/udp/239.37.0.101:5540
吉林乡村普清,http://124.235.218.125:30007/udp/239.37.0.105:5540
吉林影视普清,http://124.235.218.125:30007/udp/239.37.0.103:5540
吉林7频道普清,http://124.235.218.125:30007/udp/239.37.0.107:5540
吉林东北戏曲普清,http://124.235.218.125:30007/udp/239.37.0.109:5540
吉林都市普清,http://124.235.218.125:30007/udp/239.37.0.102:5540
吉林公共·新闻普清,http://124.235.218.125:30007/udp/239.37.0.106:5540
吉林教育普清,http://124.235.218.125:30007/udp/239.37.0.126:5540
吉林篮球普清,http://124.235.218.125:30007/udp/239.37.0.108:5540
吉林生活普清,http://124.235.218.125:30007/udp/239.37.0.104:5540
吉林长影普清,http://124.235.218.125:30007/udp/239.37.0.125:5540
吉林篮球高清,http://124.235.218.125:30007/udp/239.37.0.205:5540
延边卫视普清,http://124.235.218.125:30007/udp/239.37.0.116:5540
CRT经济普清,http://124.235.218.125:30007/udp/239.37.0.99:5540
CRT汽车普清,http://124.235.218.125:30007/udp/239.37.0.100:5540
CRT市民普清,http://124.235.218.125:30007/udp/239.37.0.98:5540
CRT娱乐普清,http://124.235.218.125:30007/udp/239.37.0.97:5540
CRT综合普清,http://124.235.218.125:30007/udp/239.37.0.96:5540
白城公共普清,http://124.235.218.125:30007/udp/239.37.0.136:5540
白城新闻·综合普清,http://124.235.218.125:30007/udp/239.37.0.135:5540
集安综合普清,http://124.235.218.125:30007/udp/239.37.0.145:5540
农安新闻综合普清,http://124.235.218.125:30007/udp/239.37.0.144:5540
汽摩普清,http://124.235.218.125:30007/udp/239.37.0.90:5540
前郭TV1普清,http://124.235.218.125:30007/udp/239.37.0.146:5540
四平1普清,http://124.235.218.125:30007/udp/239.37.0.130:5540
四平2普清,http://124.235.218.125:30007/udp/239.37.0.131:5540
通化1普清,http://124.235.218.125:30007/udp/239.37.0.132:5540
通化2普清,http://124.235.218.125:30007/udp/239.37.0.133:5540
通化3普清,http://124.235.218.125:30007/udp/239.37.0.134:5540
白山公共1普清,http://124.235.218.125:30007/udp/239.37.0.137:5540
白山公共2普清,http://124.235.218.125:30007/udp/239.37.0.138:5540
吉林市公共普清,http://124.235.218.125:30007/udp/239.37.0.128:5540
吉林市科教普清,http://124.235.218.125:30007/udp/239.37.0.129:5540
吉林市新闻综合普清,http://124.235.218.125:30007/udp/239.37.0.127:5540
吉林磐石普清,http://124.235.218.125:30007/udp/239.37.0.164:5540
吉林汪清普清,http://124.235.218.125:30007/udp/239.37.0.165:5540
吉林图们1普清,http://124.235.218.125:30007/udp/239.37.0.166:5540
吉林延吉1普清,http://124.235.218.125:30007/udp/239.37.0.167:5540
吉林梨树新闻普清,http://124.235.218.125:30007/udp/239.37.0.168:5540
吉林双辽普清,http://124.235.218.125:30007/udp/239.37.0.169:5540
吉林公主岭综合普清,http://124.235.218.125:30007/udp/239.37.0.170:5540
吉林伊通1普清,http://124.235.218.125:30007/udp/239.37.0.171:5540
吉林柳河综合普清,http://124.235.218.125:30007/udp/239.37.0.172:5540
吉林梅河口普清,http://124.235.218.125:30007/udp/239.37.0.173:5540
辉南普清,http://124.235.218.125:30007/udp/239.37.0.174:5540
镇赉综合普清,http://124.235.218.125:30007/udp/239.37.0.175:5540
吉林通榆普清,http://124.235.218.125:30007/udp/239.37.0.176:5540
吉林大安新闻综合普清,http://124.235.218.125:30007/udp/239.37.0.177:5540
东丰综合普清,http://124.235.218.125:30007/udp/239.37.0.179:5540
吉林扶余普清,http://124.235.218.125:30007/udp/239.37.0.180:5540
吉林乾安综合普清,http://124.235.218.125:30007/udp/239.37.0.181:5540
吉林舒兰新闻综合普清,http://124.235.218.125:30007/udp/239.37.0.217:5540
吉林洮南2普清,http://124.235.218.125:30007/udp/239.37.0.218:5540
吉林抚松普清,http://124.235.218.125:30007/udp/239.37.0.219:5540
吉林临江普清,http://124.235.218.125:30007/udp/239.37.0.220:5540
吉林松原普清,http://124.235.218.125:30007/udp/239.37.0.246:5540
吉林松原公共普清,http://124.235.218.125:30007/udp/239.37.0.247:5540
吉林延边1普清,http://124.235.218.125:30007/udp/239.37.0.248:5540
吉林延边2普清,http://124.235.218.125:30007/udp/239.37.0.249:5540
吉林辽源新闻综合普清,http://124.235.218.125:30007/udp/239.37.0.250:5540
吉林辽源公共普清,http://124.235.218.125:30007/udp/239.37.0.251:5540
吉林蛟河普清,http://124.235.218.125:30007/udp/239.37.0.252:5540
VSPN全电竞高清,http://124.235.218.125:30007/udp/239.37.0.140:5540
动画（没有LOGO）高清,http://124.235.218.125:30007/udp/239.37.0.147:5540
电影4K,http://124.235.218.125:30007/udp/239.37.0.148:5540
DV生活普清,http://124.235.218.125:30007/udp/239.37.0.89:5540
LIVE直播普清,http://124.235.218.125:30007/udp/239.37.0.139:5540

吉林卫视普清,http://36.49.50.124:8800/udp/239.37.0.101:5540
吉林乡村普清,http://36.49.50.124:8800/udp/239.37.0.105:5540
吉林影视普清,http://36.49.50.124:8800/udp/239.37.0.103:5540
吉林7频道普清,http://36.49.50.124:8800/udp/239.37.0.107:5540
吉林东北戏曲普清,http://36.49.50.124:8800/udp/239.37.0.109:5540
吉林都市普清,http://36.49.50.124:8800/udp/239.37.0.102:5540
吉林公共·新闻普清,http://36.49.50.124:8800/udp/239.37.0.106:5540
吉林教育普清,http://36.49.50.124:8800/udp/239.37.0.126:5540
吉林篮球普清,http://36.49.50.124:8800/udp/239.37.0.108:5540
吉林生活普清,http://36.49.50.124:8800/udp/239.37.0.104:5540
吉林长影普清,http://36.49.50.124:8800/udp/239.37.0.125:5540
吉林篮球高清,http://36.49.50.124:8800/udp/239.37.0.205:5540
延边卫视普清,http://36.49.50.124:8800/udp/239.37.0.116:5540
CRT经济普清,http://36.49.50.124:8800/udp/239.37.0.99:5540
CRT汽车普清,http://36.49.50.124:8800/udp/239.37.0.100:5540
CRT市民普清,http://36.49.50.124:8800/udp/239.37.0.98:5540
CRT娱乐普清,http://36.49.50.124:8800/udp/239.37.0.97:5540
CRT综合普清,http://36.49.50.124:8800/udp/239.37.0.96:5540
白城公共普清,http://36.49.50.124:8800/udp/239.37.0.136:5540
白城新闻·综合普清,http://36.49.50.124:8800/udp/239.37.0.135:5540
集安综合普清,http://36.49.50.124:8800/udp/239.37.0.145:5540
农安新闻综合普清,http://36.49.50.124:8800/udp/239.37.0.144:5540
汽摩普清,http://36.49.50.124:8800/udp/239.37.0.90:5540
前郭TV1普清,http://36.49.50.124:8800/udp/239.37.0.146:5540
四平1普清,http://36.49.50.124:8800/udp/239.37.0.130:5540
四平2普清,http://36.49.50.124:8800/udp/239.37.0.131:5540
通化1普清,http://36.49.50.124:8800/udp/239.37.0.132:5540
通化2普清,http://36.49.50.124:8800/udp/239.37.0.133:5540
通化3普清,http://36.49.50.124:8800/udp/239.37.0.134:5540
白山公共1普清,http://36.49.50.124:8800/udp/239.37.0.137:5540
白山公共2普清,http://36.49.50.124:8800/udp/239.37.0.138:5540
吉林市公共普清,http://36.49.50.124:8800/udp/239.37.0.128:5540
吉林市科教普清,http://36.49.50.124:8800/udp/239.37.0.129:5540
吉林市新闻综合普清,http://36.49.50.124:8800/udp/239.37.0.127:5540
吉林磐石普清,http://36.49.50.124:8800/udp/239.37.0.164:5540
吉林汪清普清,http://36.49.50.124:8800/udp/239.37.0.165:5540
吉林图们1普清,http://36.49.50.124:8800/udp/239.37.0.166:5540
吉林延吉1普清,http://36.49.50.124:8800/udp/239.37.0.167:5540
吉林梨树新闻普清,http://36.49.50.124:8800/udp/239.37.0.168:5540
吉林双辽普清,http://36.49.50.124:8800/udp/239.37.0.169:5540
吉林公主岭综合普清,http://36.49.50.124:8800/udp/239.37.0.170:5540
吉林伊通1普清,http://36.49.50.124:8800/udp/239.37.0.171:5540
吉林柳河综合普清,http://36.49.50.124:8800/udp/239.37.0.172:5540
吉林梅河口普清,http://36.49.50.124:8800/udp/239.37.0.173:5540
辉南普清,http://36.49.50.124:8800/udp/239.37.0.174:5540
镇赉综合普清,http://36.49.50.124:8800/udp/239.37.0.175:5540
吉林通榆普清,http://36.49.50.124:8800/udp/239.37.0.176:5540
吉林大安新闻综合普清,http://36.49.50.124:8800/udp/239.37.0.177:5540
东丰综合普清,http://36.49.50.124:8800/udp/239.37.0.179:5540
吉林扶余普清,http://36.49.50.124:8800/udp/239.37.0.180:5540
吉林乾安综合普清,http://36.49.50.124:8800/udp/239.37.0.181:5540
吉林舒兰新闻综合普清,http://36.49.50.124:8800/udp/239.37.0.217:5540
吉林洮南2普清,http://36.49.50.124:8800/udp/239.37.0.218:5540
吉林抚松普清,http://36.49.50.124:8800/udp/239.37.0.219:5540
吉林临江普清,http://36.49.50.124:8800/udp/239.37.0.220:5540
