辽宁联通,#genre#
辽宁4K,http://218.24.59.14:9006/udp/232.0.0.182:1234
辽宁4K,http://218.24.59.14:9006/udp/232.0.0.187:1234
辽宁北方,http://218.24.59.14:9006/udp/232.0.0.151:1234
辽宁北方,http://218.24.59.14:9006/udp/232.0.0.55:1234
辽宁都市,http://218.24.59.14:9006/udp/232.0.0.88:1234
辽宁风景,http://218.24.59.14:9006/udp/232.0.0.48:1234
辽宁公共,http://218.24.59.14:9006/udp/232.0.0.168:1234
辽宁公共,http://218.24.59.14:9006/udp/232.0.0.205:1234
辽宁教育,http://218.24.59.14:9006/udp/232.0.0.241:1234
辽宁经济,http://218.24.59.14:9006/udp/232.0.0.204:1234
辽宁经济,http://218.24.59.14:9006/udp/232.0.0.156:1234
辽宁生活,http://218.24.59.14:9006/udp/232.0.0.150:1234
辽宁生活,http://218.24.59.14:9006/udp/232.0.0.96:1234
辽宁体育,http://218.24.59.14:9006/udp/232.0.0.24:1234
辽宁卫视,http://218.24.59.14:9006/udp/232.0.0.126:1234
辽宁卫视,http://218.24.59.14:9006/udp/232.0.0.16:1234
辽宁移动,http://218.24.59.14:9006/udp/232.0.0.153:1234
辽宁影视,http://218.24.59.14:9006/udp/232.0.0.97:1234
辽宁影视,http://218.24.59.14:9006/udp/232.0.0.25:1234

大洼,http://218.24.59.14:9006/udp/232.0.0.146:1234
铁岭新闻,http://218.24.59.14:9006/udp/232.0.0.206:1234
铁岭新闻,http://218.24.59.14:9006/udp/232.0.0.142:1234
营口公共,http://218.24.59.14:9006/udp/232.0.0.215:1234
营口综合,http://218.24.59.14:9006/udp/232.0.0.214:1234

辽宁4K,http://218.24.59.14:9007/udp/232.0.0.182:1234
辽宁4K,http://218.24.59.14:9007/udp/232.0.0.187:1234
辽宁北方,http://218.24.59.14:9007/udp/232.0.0.151:1234
辽宁北方,http://218.24.59.14:9007/udp/232.0.0.55:1234
辽宁都市,http://218.24.59.14:9007/udp/232.0.0.88:1234
辽宁风景,http://218.24.59.14:9007/udp/232.0.0.48:1234
辽宁公共,http://218.24.59.14:9007/udp/232.0.0.168:1234
辽宁公共,http://218.24.59.14:9007/udp/232.0.0.205:1234
辽宁教育,http://218.24.59.14:9007/udp/232.0.0.241:1234
辽宁经济,http://218.24.59.14:9007/udp/232.0.0.204:1234
辽宁经济,http://218.24.59.14:9007/udp/232.0.0.156:1234
辽宁生活,http://218.24.59.14:9007/udp/232.0.0.150:1234
辽宁生活,http://218.24.59.14:9007/udp/232.0.0.96:1234
辽宁体育,http://218.24.59.14:9007/udp/232.0.0.24:1234
辽宁卫视,http://218.24.59.14:9007/udp/232.0.0.126:1234
辽宁卫视,http://218.24.59.14:9007/udp/232.0.0.16:1234
辽宁移动,http://218.24.59.14:9007/udp/232.0.0.153:1234
辽宁影视,http://218.24.59.14:9007/udp/232.0.0.97:1234
辽宁影视,http://218.24.59.14:9007/udp/232.0.0.25:1234

大洼,http://218.24.59.14:9007/udp/232.0.0.146:1234
铁岭新闻,http://218.24.59.14:9007/udp/232.0.0.206:1234
铁岭新闻,http://218.24.59.14:9007/udp/232.0.0.142:1234
营口公共,http://218.24.59.14:9007/udp/232.0.0.215:1234
营口综合,http://218.24.59.14:9007/udp/232.0.0.214:1234

辽宁4K,http://218.24.59.14:9009/udp/232.0.0.182:1234
辽宁4K,http://218.24.59.14:9009/udp/232.0.0.187:1234
辽宁北方,http://218.24.59.14:9009/udp/232.0.0.151:1234
辽宁北方,http://218.24.59.14:9009/udp/232.0.0.55:1234
辽宁都市,http://218.24.59.14:9009/udp/232.0.0.88:1234
辽宁风景,http://218.24.59.14:9009/udp/232.0.0.48:1234
辽宁公共,http://218.24.59.14:9009/udp/232.0.0.168:1234
辽宁公共,http://218.24.59.14:9009/udp/232.0.0.205:1234
辽宁教育,http://218.24.59.14:9009/udp/232.0.0.241:1234
辽宁经济,http://218.24.59.14:9009/udp/232.0.0.204:1234
辽宁经济,http://218.24.59.14:9009/udp/232.0.0.156:1234
辽宁生活,http://218.24.59.14:9009/udp/232.0.0.150:1234
辽宁生活,http://218.24.59.14:9009/udp/232.0.0.96:1234
辽宁体育,http://218.24.59.14:9009/udp/232.0.0.24:1234
辽宁卫视,http://218.24.59.14:9009/udp/232.0.0.126:1234
辽宁卫视,http://218.24.59.14:9009/udp/232.0.0.16:1234
辽宁移动,http://218.24.59.14:9009/udp/232.0.0.153:1234
辽宁影视,http://218.24.59.14:9009/udp/232.0.0.97:1234
辽宁影视,http://218.24.59.14:9009/udp/232.0.0.25:1234

大洼,http://218.24.59.14:9009/udp/232.0.0.146:1234
铁岭新闻,http://218.24.59.14:9009/udp/232.0.0.206:1234
铁岭新闻,http://218.24.59.14:9009/udp/232.0.0.142:1234
营口公共,http://218.24.59.14:9009/udp/232.0.0.215:1234
营口综合,http://218.24.59.14:9009/udp/232.0.0.214:1234

