青海联通,#genre#
青海卫视HD,http://139.170.104.58:8000/udp/239.120.1.64:8332
青海经视HD,http://139.170.104.58:8000/udp/239.120.2.127:5141
青海都市HD,http://139.170.104.58:8000/udp/239.120.2.128:5141
安多卫视HD,http://139.170.104.58:8000/udp/239.120.2.6:5141
西宁生活服务HD,http://139.170.104.58:8000/udp/239.120.2.171:5141
西宁新闻综合HD,http://139.170.104.58:8000/udp/239.120.2.172:5141
海东综合HD,http://139.170.104.58:8000/udp/239.120.2.198:5141
海北HD,http://139.170.104.58:8000/udp/239.120.2.129:5141
海南州,http://139.170.104.58:8000/udp/239.120.1.247:9436
果洛,http://139.170.104.58:8000/udp/239.120.1.92:8218
黄南,http://139.170.104.58:8000/udp/239.120.1.100:9128
青海油田,http://139.170.104.58:8000/udp/239.120.1.144:8416
矿区生活,http://139.170.104.58:8000/udp/239.120.1.145:8420

