陕西电信,#genre#
陕视直播,http://36.47.83.204:8010/udp/239.112.205.217:5140
陕西卫视,http://36.47.83.204:8010/udp/239.111.205.35:5140
农林卫视,http://36.47.83.204:8010/udp/239.112.205.27:5140
新闻资讯,http://36.47.83.204:8010/udp/239.111.205.28:5140
都市青春,http://36.47.83.204:8010/udp/239.111.205.42:5140
陕西生活,http://36.47.83.204:8010/udp/239.112.205.20:5140
陕西影视,http://36.47.83.204:8010/udp/239.112.205.21:5140
陕西公共,http://36.47.83.204:8010/udp/239.112.205.22:5140
体育休闲,http://36.47.83.204:8010/udp/239.111.205.36:5140
西部电影,http://36.47.83.204:8010/udp/239.111.205.41:5140
新闻综合,http://36.47.83.204:8010/udp/239.111.205.242:5140
都市频道,http://36.47.83.204:8010/udp/239.111.205.243:5140
商务资讯,http://36.47.83.204:8010/udp/239.112.205.174:5140
影视频道,http://36.47.83.204:8010/udp/239.112.205.175:5140
丝路频道,http://36.47.83.204:8010/udp/239.112.205.176:5140
西安教育,http://36.47.83.204:8010/udp/239.112.205.142:5140
圆点生活,http://36.47.83.204:8010/udp/239.111.205.15:5140
圆点影视,http://36.47.83.204:8010/udp/239.111.205.64:5140
悦美生活,http://36.47.83.204:8010/udp/239.111.205.30:5140
曲艺大观,http://36.47.83.204:8010/udp/239.111.205.31:5140
睛彩三秦,http://36.47.83.204:8010/udp/239.112.205.26:5140

陕视直播,http://1.83.123.172:8888/udp/239.112.205.217:5140
陕西卫视,http://1.83.123.172:8888/udp/239.111.205.35:5140
农林卫视,http://1.83.123.172:8888/udp/239.112.205.27:5140
新闻资讯,http://1.83.123.172:8888/udp/239.111.205.28:5140
都市青春,http://1.83.123.172:8888/udp/239.111.205.42:5140
陕西生活,http://1.83.123.172:8888/udp/239.112.205.20:5140
陕西影视,http://1.83.123.172:8888/udp/239.112.205.21:5140
陕西公共,http://1.83.123.172:8888/udp/239.112.205.22:5140
体育休闲,http://1.83.123.172:8888/udp/239.111.205.36:5140
西部电影,http://1.83.123.172:8888/udp/239.111.205.41:5140
新闻综合,http://1.83.123.172:8888/udp/239.111.205.242:5140
都市频道,http://1.83.123.172:8888/udp/239.111.205.243:5140
商务资讯,http://1.83.123.172:8888/udp/239.112.205.174:5140
影视频道,http://1.83.123.172:8888/udp/239.112.205.175:5140
丝路频道,http://1.83.123.172:8888/udp/239.112.205.176:5140
西安教育,http://1.83.123.172:8888/udp/239.112.205.142:5140
圆点生活,http://1.83.123.172:8888/udp/239.111.205.15:5140
圆点影视,http://1.83.123.172:8888/udp/239.111.205.64:5140
悦美生活,http://1.83.123.172:8888/udp/239.111.205.30:5140
曲艺大观,http://1.83.123.172:8888/udp/239.111.205.31:5140
睛彩三秦,http://1.83.123.172:8888/udp/239.112.205.26:5140

