上海电信,#genre#
新闻综合,http://180.173.191.180:9898/udp/239.45.3.209:5140
都市频道,http://180.173.191.180:9898/udp/239.45.3.236:5140
纪实人文,http://180.173.191.180:9898/udp/239.45.3.212:5140
东方影视,http://180.173.191.180:9898/udp/239.45.3.237:5140
第一财经,http://180.173.191.180:9898/udp/239.45.3.211:5140
五星体育,http://180.173.191.180:9898/udp/239.45.3.210:5140
哈哈炫动,http://180.173.191.180:9898/udp/239.45.1.55:5140
上视外语,http://180.173.191.180:9898/udp/239.45.1.127:5140
都市剧场,http://180.173.191.180:9898/udp/239.45.3.136:5140
欢笑剧场,http://180.173.191.180:9898/udp/239.45.3.196:5140
欢笑剧场,http://180.173.191.180:9898/udp/239.45.1.4:5140
全纪实,http://180.173.191.180:9898/udp/239.45.3.135:5140
动漫秀场,http://180.173.191.180:9898/udp/239.45.3.134:5140
生活时尚,http://180.173.191.180:9898/udp/239.45.3.132:5140
游戏风云,http://180.173.191.180:9898/udp/239.45.3.131:5140
MAX极速汽车,http://180.173.191.180:9898/udp/239.45.3.49:5140
教育台,http://180.173.191.180:9898/udp/239.45.3.122:5140#http://180.173.191.180:9898/udp/239.45.3.252:5140
东方财经,http://180.173.191.180:9898/udp/239.45.1.119:5140#http://180.173.191.180:9898/udp/239.45.3.192:5140
七彩戏剧,http://180.173.191.180:9898/udp/239.45.3.61:5140#http://180.173.191.180:9898/udp/239.45.1.112:5140
法治天地,http://180.173.191.180:9898/udp/239.45.1.46:5140
浦东频道,http://180.173.191.180:9898/udp/239.45.3.248:5140
崇明电视,http://180.173.191.180:9898/udp/239.45.1.54:5140
嘉定频道,http://180.173.191.180:9898/udp/239.45.3.185:5140
金色频道,http://180.173.191.180:9898/udp/239.45.1.118:5140#http://180.173.191.180:9898/udp/239.45.3.51:5140
健康人生,http://180.173.191.180:9898/udp/239.45.3.214:5140
百事通超级体育,http://180.173.191.180:9898/udp/239.45.3.139:5140
百事通4K,http://180.173.191.180:9898/udp/239.45.1.42:5140#http://180.173.191.180:9898/udp/239.45.3.107:5140
百事通4K（备）,http://180.173.191.180:9898/udp/239.45.3.107:5140
中国天气,http://180.173.191.180:9898/udp/239.45.1.47:5140
陶瓷,http://180.173.191.180:9898/udp/239.45.3.50:5140

新闻综合,http://180.175.160.126:10000/udp/239.45.3.209:5140
都市频道,http://180.175.160.126:10000/udp/239.45.3.236:5140
纪实人文,http://180.175.160.126:10000/udp/239.45.3.212:5140
东方影视,http://180.175.160.126:10000/udp/239.45.3.237:5140
第一财经,http://180.175.160.126:10000/udp/239.45.3.211:5140
五星体育,http://180.175.160.126:10000/udp/239.45.3.210:5140
哈哈炫动,http://180.175.160.126:10000/udp/239.45.1.55:5140
上视外语,http://180.175.160.126:10000/udp/239.45.1.127:5140
都市剧场,http://180.175.160.126:10000/udp/239.45.3.136:5140
欢笑剧场,http://180.175.160.126:10000/udp/239.45.3.196:5140
欢笑剧场,http://180.175.160.126:10000/udp/239.45.1.4:5140
全纪实,http://180.175.160.126:10000/udp/239.45.3.135:5140
动漫秀场,http://180.175.160.126:10000/udp/239.45.3.134:5140
生活时尚,http://180.175.160.126:10000/udp/239.45.3.132:5140
游戏风云,http://180.175.160.126:10000/udp/239.45.3.131:5140
MAX极速汽车,http://180.175.160.126:10000/udp/239.45.3.49:5140
教育台,http://180.175.160.126:10000/udp/239.45.3.122:5140#http://180.175.160.126:10000/udp/239.45.3.252:5140
东方财经,http://180.175.160.126:10000/udp/239.45.1.119:5140#http://180.175.160.126:10000/udp/239.45.3.192:5140
七彩戏剧,http://180.175.160.126:10000/udp/239.45.3.61:5140#http://180.175.160.126:10000/udp/239.45.1.112:5140
法治天地,http://180.175.160.126:10000/udp/239.45.1.46:5140
浦东频道,http://180.175.160.126:10000/udp/239.45.3.248:5140
崇明电视,http://180.175.160.126:10000/udp/239.45.1.54:5140
嘉定频道,http://180.175.160.126:10000/udp/239.45.3.185:5140
金色频道,http://180.175.160.126:10000/udp/239.45.1.118:5140#http://180.175.160.126:10000/udp/239.45.3.51:5140
健康人生,http://180.175.160.126:10000/udp/239.45.3.214:5140
百事通超级体育,http://180.175.160.126:10000/udp/239.45.3.139:5140
百事通4K,http://180.175.160.126:10000/udp/239.45.1.42:5140#http://180.175.160.126:10000/udp/239.45.3.107:5140
百事通4K（备）,http://180.175.160.126:10000/udp/239.45.3.107:5140
中国天气,http://180.175.160.126:10000/udp/239.45.1.47:5140
陶瓷,http://180.175.160.126:10000/udp/239.45.3.50:5140

新闻综合,http://180.154.72.218:4022/udp/239.45.3.209:5140
都市频道,http://180.154.72.218:4022/udp/239.45.3.236:5140
纪实人文,http://180.154.72.218:4022/udp/239.45.3.212:5140
东方影视,http://180.154.72.218:4022/udp/239.45.3.237:5140
第一财经,http://180.154.72.218:4022/udp/239.45.3.211:5140
五星体育,http://180.154.72.218:4022/udp/239.45.3.210:5140
哈哈炫动,http://180.154.72.218:4022/udp/239.45.1.55:5140
上视外语,http://180.154.72.218:4022/udp/239.45.1.127:5140
都市剧场,http://180.154.72.218:4022/udp/239.45.3.136:5140
欢笑剧场,http://180.154.72.218:4022/udp/239.45.3.196:5140
欢笑剧场,http://180.154.72.218:4022/udp/239.45.1.4:5140
全纪实,http://180.154.72.218:4022/udp/239.45.3.135:5140
动漫秀场,http://180.154.72.218:4022/udp/239.45.3.134:5140
生活时尚,http://180.154.72.218:4022/udp/239.45.3.132:5140
游戏风云,http://180.154.72.218:4022/udp/239.45.3.131:5140
MAX极速汽车,http://180.154.72.218:4022/udp/239.45.3.49:5140
教育台,http://180.154.72.218:4022/udp/239.45.3.122:5140#http://180.154.72.218:4022/udp/239.45.3.252:5140
东方财经,http://180.154.72.218:4022/udp/239.45.1.119:5140#http://180.154.72.218:4022/udp/239.45.3.192:5140
七彩戏剧,http://180.154.72.218:4022/udp/239.45.3.61:5140#http://180.154.72.218:4022/udp/239.45.1.112:5140
法治天地,http://180.154.72.218:4022/udp/239.45.1.46:5140
浦东频道,http://180.154.72.218:4022/udp/239.45.3.248:5140
崇明电视,http://180.154.72.218:4022/udp/239.45.1.54:5140
嘉定频道,http://180.154.72.218:4022/udp/239.45.3.185:5140
金色频道,http://180.154.72.218:4022/udp/239.45.1.118:5140#http://180.154.72.218:4022/udp/239.45.3.51:5140
健康人生,http://180.154.72.218:4022/udp/239.45.3.214:5140
百事通超级体育,http://180.154.72.218:4022/udp/239.45.3.139:5140
百事通4K,http://180.154.72.218:4022/udp/239.45.1.42:5140#http://180.154.72.218:4022/udp/239.45.3.107:5140
百事通4K（备）,http://180.154.72.218:4022/udp/239.45.3.107:5140
中国天气,http://180.154.72.218:4022/udp/239.45.1.47:5140
陶瓷,http://180.154.72.218:4022/udp/239.45.3.50:5140

