山西联通,#genre#
山西卫视HD,http://171.118.123.127:8005/udp/226.0.2.152:9128
山西黄河HD,http://171.118.123.127:8005/udp/226.0.2.235:9792
山西经济与科技HD,http://171.118.123.127:8005/udp/226.0.2.236:9800
山西影视HD,http://171.118.123.127:8005/udp/226.0.2.237:9808
山西社会与法治HD,http://171.118.123.127:8005/udp/226.0.2.238:9816
山西文体生活HD,http://171.118.123.127:8005/udp/226.0.2.16:8040
山西卫视,http://171.118.123.127:8005/udp/226.0.2.11:8000
山西黄河,http://171.118.123.127:8005/udp/226.0.2.12:8008
山西经济与科技,http://171.118.123.127:8005/udp/226.0.2.13:8016
山西影视,http://171.118.123.127:8005/udp/226.0.2.14:8024
山西社会与法治,http://171.118.123.127:8005/udp/226.0.2.15:8032
太原1,http://171.118.123.127:8005/udp/226.0.2.201:9520
太原2,http://171.118.123.127:8005/udp/226.0.2.202:9528
太原3,http://171.118.123.127:8005/udp/226.0.2.203:9536
太原4,http://171.118.123.127:8005/udp/226.0.2.204:9544
太原5,http://171.118.123.127:8005/udp/226.0.2.205:9552
太原教育,http://171.118.123.127:8005/udp/226.0.2.206:9560
朔州-1,http://171.118.123.127:8005/udp/226.0.2.185:9392
朔州-2,http://171.118.123.127:8005/udp/226.0.2.186:9400
孝义电视台,http://171.118.123.127:8005/udp/226.0.2.189:9424
清徐HD,http://171.118.123.127:8005/udp/226.0.2.191:9440
古交电视台,http://171.118.123.127:8005/udp/226.0.2.192:9448
阳曲,http://171.118.123.127:8005/udp/226.0.2.196:9480
晋能控股,http://171.118.123.127:8005/udp/226.0.2.229:9744
大同教育HD,http://171.118.123.127:8005/udp/226.0.2.232:9772
阳泉-1新闻综合,http://171.118.123.127:8005/udp/226.0.2.233:9776
阳泉-2科教,http://171.118.123.127:8005/udp/226.0.2.234:9784

山西卫视HD,http://124.163.112.145:6001/udp/226.0.2.152:9128
山西黄河HD,http://124.163.112.145:6001/udp/226.0.2.235:9792
山西经济与科技HD,http://124.163.112.145:6001/udp/226.0.2.236:9800
山西影视HD,http://124.163.112.145:6001/udp/226.0.2.237:9808
山西社会与法治HD,http://124.163.112.145:6001/udp/226.0.2.238:9816
山西文体生活HD,http://124.163.112.145:6001/udp/226.0.2.16:8040
山西卫视,http://124.163.112.145:6001/udp/226.0.2.11:8000
山西黄河,http://124.163.112.145:6001/udp/226.0.2.12:8008
山西经济与科技,http://124.163.112.145:6001/udp/226.0.2.13:8016
山西影视,http://124.163.112.145:6001/udp/226.0.2.14:8024
山西社会与法治,http://124.163.112.145:6001/udp/226.0.2.15:8032
太原1,http://124.163.112.145:6001/udp/226.0.2.201:9520
太原2,http://124.163.112.145:6001/udp/226.0.2.202:9528
太原3,http://124.163.112.145:6001/udp/226.0.2.203:9536
太原4,http://124.163.112.145:6001/udp/226.0.2.204:9544
太原5,http://124.163.112.145:6001/udp/226.0.2.205:9552
太原教育,http://124.163.112.145:6001/udp/226.0.2.206:9560
朔州-1,http://124.163.112.145:6001/udp/226.0.2.185:9392
朔州-2,http://124.163.112.145:6001/udp/226.0.2.186:9400
孝义电视台,http://124.163.112.145:6001/udp/226.0.2.189:9424
清徐HD,http://124.163.112.145:6001/udp/226.0.2.191:9440
古交电视台,http://124.163.112.145:6001/udp/226.0.2.192:9448
阳曲,http://124.163.112.145:6001/udp/226.0.2.196:9480
晋能控股,http://124.163.112.145:6001/udp/226.0.2.229:9744
大同教育HD,http://124.163.112.145:6001/udp/226.0.2.232:9772
阳泉-1新闻综合,http://124.163.112.145:6001/udp/226.0.2.233:9776
阳泉-2科教,http://124.163.112.145:6001/udp/226.0.2.234:9784

山西卫视HD,http://60.223.72.231:8004/udp/226.0.2.152:9128
山西黄河HD,http://60.223.72.231:8004/udp/226.0.2.235:9792
山西经济与科技HD,http://60.223.72.231:8004/udp/226.0.2.236:9800
山西影视HD,http://60.223.72.231:8004/udp/226.0.2.237:9808
山西社会与法治HD,http://60.223.72.231:8004/udp/226.0.2.238:9816
山西文体生活HD,http://60.223.72.231:8004/udp/226.0.2.16:8040
山西卫视,http://60.223.72.231:8004/udp/226.0.2.11:8000
山西黄河,http://60.223.72.231:8004/udp/226.0.2.12:8008
山西经济与科技,http://60.223.72.231:8004/udp/226.0.2.13:8016
山西影视,http://60.223.72.231:8004/udp/226.0.2.14:8024
山西社会与法治,http://60.223.72.231:8004/udp/226.0.2.15:8032
太原1,http://60.223.72.231:8004/udp/226.0.2.201:9520
太原2,http://60.223.72.231:8004/udp/226.0.2.202:9528
太原3,http://60.223.72.231:8004/udp/226.0.2.203:9536
太原4,http://60.223.72.231:8004/udp/226.0.2.204:9544
太原5,http://60.223.72.231:8004/udp/226.0.2.205:9552
太原教育,http://60.223.72.231:8004/udp/226.0.2.206:9560
朔州-1,http://60.223.72.231:8004/udp/226.0.2.185:9392
朔州-2,http://60.223.72.231:8004/udp/226.0.2.186:9400
孝义电视台,http://60.223.72.231:8004/udp/226.0.2.189:9424
清徐HD,http://60.223.72.231:8004/udp/226.0.2.191:9440
古交电视台,http://60.223.72.231:8004/udp/226.0.2.192:9448
阳曲,http://60.223.72.231:8004/udp/226.0.2.196:9480
晋能控股,http://60.223.72.231:8004/udp/226.0.2.229:9744
大同教育HD,http://60.223.72.231:8004/udp/226.0.2.232:9772
阳泉-1新闻综合,http://60.223.72.231:8004/udp/226.0.2.233:9776
阳泉-2科教,http://60.223.72.231:8004/udp/226.0.2.234:9784

