台湾电信,#genre#
频道總表,http://125.227.22.96:4022/udp/230.1.2.107:11111
AMC最愛電影原創影集,http://125.227.22.96:4022/udp/230.1.2.157:11111
Animax動漫,http://125.227.22.96:4022/udp/224.1.4.237:11111
Arirang韩国阿里郎,http://125.227.22.96:4022/udp/224.1.4.184:11111
BBC Earth地球,http://125.227.22.96:4022/udp/230.1.2.172:11111
BBC Lifestyle創意生活、廚藝,http://125.227.22.96:4022/udp/230.1.2.173:11111
BBC News 英国新闻,http://125.227.22.96:4022/udp/230.1.2.250:11111
Bloomberg,http://125.227.22.96:4022/udp/224.1.4.197:11111
CARTOONITO超人氣卡通,http://125.227.22.96:4022/udp/224.1.4.161:11111
CatchPlay電影,http://125.227.22.96:4022/udp/230.1.2.217:11111
CBeebies學齡前兒童,http://125.227.22.96:4022/udp/224.1.4.213:11111
Channel NewsAsia新加坡新闻,http://125.227.22.96:4022/udp/224.1.4.139:11111
CinemaWorld世界電影,http://125.227.22.96:4022/udp/230.1.2.222:11111
Cmusic音乐,http://125.227.22.96:4022/udp/224.1.4.159:11111
CNBC Asia,http://125.227.22.96:4022/udp/224.1.4.140:11111
CNNI,http://125.227.22.96:4022/udp/224.1.4.235:11111
DaVinCi Learning 達文西頻道,http://125.227.22.96:4022/udp/224.1.4.233:11111
DAZN 2,http://125.227.22.96:4022/udp/224.1.4.156:11111
DAZN 3,http://125.227.22.96:4022/udp/224.1.4.189:11111
Discovery Asia探索亚洲,http://125.227.22.96:4022/udp/230.1.2.168:11111
Discovery 科學,http://125.227.22.96:4022/udp/230.1.2.212:11111
DMAX男性科技、極限,http://125.227.22.96:4022/udp/230.1.2.213:11111
DREAMWORKS夢工廠動畫,http://125.227.22.96:4022/udp/224.1.4.177:11111
ELTV生活英語台英文教育,http://125.227.22.96:4022/udp/224.1.4.216:11111
ETtoday綜合台,http://125.227.22.96:4022/udp/224.1.4.212:11111
Euronews欧洲新闻,http://125.227.22.96:4022/udp/224.1.4.119:11111
EUROSPORT歐洲體育台,http://125.227.22.96:4022/udp/224.1.4.135:11111
EVE女性娛樂、健康,http://125.227.22.96:4022/udp/230.1.2.214:11111
EYE TV戲劇台 ,http://125.227.22.96:4022/udp/230.1.2.134:11111
EYE TV旅遊台,http://125.227.22.96:4022/udp/230.1.2.135:11111
Fashion TV时尚,http://125.227.22.96:4022/udp/230.1.2.177:11111
Food Network 美食台,http://125.227.22.96:4022/udp/224.1.4.211:11111
FRANCE24E,http://125.227.22.96:4022/udp/224.1.4.166:11111
FRANCE24F法語,http://125.227.22.96:4022/udp/230.1.2.15:11111
Global Trekker紀實樂,http://125.227.22.96:4022/udp/224.1.4.162:11111
HGTV 居家樂活頻道,http://125.227.22.96:4022/udp/224.1.4.183:11111
HITS經典影集,http://125.227.22.96:4022/udp/224.1.4.136:11111
i-Fun動漫,http://125.227.22.96:4022/udp/230.1.2.223:11111
INULTRA4K休閒生活、極限運動,http://125.227.22.96:4022/udp/230.1.2.145:11111
KLT-靖天國際台,http://125.227.22.96:4022/udp/224.1.4.220:11111
Lifetime女性娛樂、影劇,http://125.227.22.96:4022/udp/224.1.4.230:11111
LOVE NATURE生態紀實,http://125.227.22.96:4022/udp/224.1.4.182:11111
LUXE TV時尚,http://125.227.22.96:4022/udp/230.1.2.176:11111
MCE 我的歐洲電影,http://125.227.22.96:4022/udp/230.1.2.129:11111
Medici-arts古典音樂,http://125.227.22.96:4022/udp/230.1.2.180:11111
