天津联通,#genre#
天津卫视,http://60.26.62.138:4022/udp/225.1.1.111:5002
天津新闻,http://60.26.62.138:4022/udp/225.1.1.130:5002
天津文艺,http://60.26.62.138:4022/udp/225.1.1.131:5002
天津影视,http://60.26.62.138:4022/udp/225.1.1.149:5002
天津都市,http://60.26.62.138:4022/udp/225.1.1.128:5002
天津体育,http://60.26.62.138:4022/udp/225.1.1.122:5002
天津科教,http://60.26.62.138:4022/udp/225.1.1.129:5002
天津少儿,http://60.26.62.138:4022/udp/225.1.1.125:5002
天津IPTV,http://60.26.62.138:4022/udp/225.1.2.123:5002

河东卫视,http://60.26.62.138:4022/udp/225.1.2.2:5002
河西卫视,http://60.26.62.138:4022/udp/225.1.2.4:5002
蓟州卫视,http://60.26.62.138:4022/udp/225.1.1.82:5002
静海卫视,http://60.26.62.138:4022/udp/225.1.1.110:5002
滨海1,http://60.26.62.138:4022/udp/225.1.2.7:5002
滨海2,http://60.26.62.138:4022/udp/225.1.2.8:5002
大港油田企业,http://60.26.62.138:4022/udp/225.1.2.14:5002

4K私享家,http://60.26.62.138:4022/udp/225.1.1.156:5002
4K影视,http://60.26.62.138:4022/udp/225.1.2.190:5002
CETV早期教育,http://60.26.62.138:4022/udp/225.1.2.207:5002
CHC动作电影,http://60.26.62.138:4022/udp/225.1.1.215:5002
CHC高清电影,http://60.26.62.138:4022/udp/225.1.1.214:5002
CHC家庭影院,http://60.26.62.138:4022/udp/225.1.1.213:5002
FTV足球,http://60.26.62.138:4022/udp/225.1.2.83:5002
GTV网络棋牌,http://60.26.62.138:4022/udp/225.1.1.217:5002
GTV游戏竞技,http://60.26.62.138:4022/udp/225.1.1.222:5002
财富天下,http://60.26.62.138:4022/udp/225.1.2.198:5002
车迷频道,http://60.26.62.138:4022/udp/225.1.2.199:5002
风尚生活,http://60.26.62.138:4022/udp/225.1.2.58:5002
欢乐动漫,http://60.26.62.138:4022/udp/225.1.1.132:5002
环球旅游,http://60.26.62.138:4022/udp/225.1.2.200:5002
环球奇观,http://60.26.62.138:4022/udp/225.1.1.197:5002
极速汽车,http://60.26.62.138:4022/udp/225.1.1.141:5002
纪实人文,http://60.26.62.138:4022/udp/225.1.2.25:5002
家庭理财,http://60.26.62.138:4022/udp/225.1.2.23:5002
金色学堂,http://60.26.62.138:4022/udp/225.1.1.236:5002
靓妆,http://60.26.62.138:4022/udp/225.1.1.200:5002
快乐生活,http://60.26.62.138:4022/udp/225.1.2.24:5002
每日影院,http://60.26.62.138:4022/udp/225.1.2.57:5002
魅力足球,http://60.26.62.138:4022/udp/225.1.1.137:5002
汽摩,http://60.26.62.138:4022/udp/225.1.1.205:5002
三角英语,http://60.26.62.138:4022/udp/225.1.2.182:5002
生态环境,http://60.26.62.138:4022/udp/225.1.2.201:5002
书法,http://60.26.62.138:4022/udp/225.1.2.22:5002
四海钓鱼,http://60.26.62.138:4022/udp/225.1.2.202:5002
陶瓷,http://60.26.62.138:4022/udp/225.1.1.153:5002
文物宝库,http://60.26.62.138:4022/udp/225.1.2.105:5002
武术世界,http://60.26.62.138:4022/udp/225.1.2.129:5002
先锋乒羽,http://60.26.62.138:4022/udp/225.1.1.219:5002
新动漫,http://60.26.62.138:4022/udp/225.1.1.216:5002
新影老故事,http://60.26.62.138:4022/udp/225.1.1.188:5002
新影中学生,http://60.26.62.138:4022/udp/225.1.1.193:5002
幸福彩,http://60.26.62.138:4022/udp/225.1.1.152:5002
幸福剧场,http://60.26.62.138:4022/udp/225.1.2.59:5002
幸福娱乐,http://60.26.62.138:4022/udp/225.1.2.60:5002
优优宝贝,http://60.26.62.138:4022/udp/225.1.2.203:5002
游戏风云,http://60.26.62.138:4022/udp/225.1.1.135:5002
悦美生活,http://60.26.62.138:4022/udp/225.1.2.55:5002
中国天气,http://60.26.62.138:4022/udp/225.1.2.119:5002
中华特产,http://60.26.62.138:4022/udp/225.1.2.197:5002

天津文艺广播,http://60.26.62.138:4022/udp/225.1.1.171:5002
天津经济广播,http://60.26.62.138:4022/udp/225.1.1.172:5002
天津新闻广播,http://60.26.62.138:4022/udp/225.1.1.173:5002
天津生活广播,http://60.26.62.138:4022/udp/225.1.1.174:5002
天津交通广播,http://60.26.62.138:4022/udp/225.1.1.175:5002
天津相声广播,http://60.26.62.138:4022/udp/225.1.1.176:5002
天津小说广播,http://60.26.62.138:4022/udp/225.1.1.177:5002
天津滨海广播,http://60.26.62.138:4022/udp/225.1.1.178:5002
天津音乐广播,http://60.26.62.138:4022/udp/225.1.1.179:5002
天津农村广播,http://60.26.62.138:4022/udp/225.1.1.180:5002

天津卫视,http://60.26.62.168:8000/udp/225.1.1.111:5002
天津新闻,http://60.26.62.168:8000/udp/225.1.1.130:5002
天津文艺,http://60.26.62.168:8000/udp/225.1.1.131:5002
